"SampleFk","TripID","StationID","CollectionDateTime","SampleType","QAQCType","QAQCMatchingSampleFk","Notes","SurfaceFk"
16864,"LP891127",,,"Major Ions","EB",,,
16915,"LP930201",,,"Major Ions","EB",,,
16924,"LP930517",,,"Major Ions","EB",,,
16912,"LP930201",,,"Major Ions","EB",,,
16921,"LP930517",,,"Major Ions","EB",,,
16935,"LP930802",,,"Major Ions","EB",,,
16939,"LP930802",,,"Major Ions","EB",,,
16943,"LP930802",,,"Major Ions","EB",,,
16957,"LP940203",,,"Major Ions","EB",,,
16951,"LP931005",,,"Major Ions","EB",,,
16948,"LP931005",,,"Major Ions","EB",,,
16966,"LP940510",,,"Major Ions","RB",,,
16968,"LP940510",,,"Major Ions","RB",,,
16976,"LP940510",,,"Major Ions","EB",,,
16992,"LP950223",,,"Major Ions","RB",,,
16993,"LP950223",,,"Major Ions","RB",,,
17002,"LP950606",,,"Major Ions","RB",,,
16985,"LP941204",,,"Major Ions","RB",,,
16986,"LP941204",,,"Major Ions","RB",,,
16987,"LP941204",,,"Major Ions","EB",,,
17000,"LP950223",,,"Major Ions","EB",,,
17010,"LP950606",,,"Major Ions","EB",,,
17021,"LP950907",,,"Major Ions","RB",,,
17022,"LP951211",,,"Major Ions","EB",,,
17023,"LP951211",,,"Major Ions","RB",,,
17024,"LP951211",,,"Major Ions","RB",,,
17013,"LP950606",,,"Major Ions","RB",,,
17014,"LP950907",,,"Major Ions","RB",,,
17018,"LP950907",,,"Major Ions","EB",,,
17029,"LP960228",,,"Major Ions","RB",,,
17039,"LP960604",,,"Major Ions","EB",,,
17040,"LP960604",,,"Major Ions","RB",,,
17032,"LP960228",,,"Major Ions","EB",,,
17052,"LP960924",,,"Major Ions","RB",,,
17053,"LP960924",,,"Major Ions","EB",,,
17036,"LP960604",,,"Major Ions","RB",,,
17056,"LP970220",,,"Major Ions","RB",,,
17064,"LP970603",,,"Major Ions","EB",,,
17065,"LP970603",,,"Major Ions","RB",,,
17061,"LP970603",,,"Major Ions","RB",,,
17068,"LP970924",,,"Major Ions","RB",,,
17073,"LP971211",,,"Major Ions","RB",,,
17074,"LP980227",,,"Major Ions","RB",,,
