SampleFk,TripID,StationID,CollectionDateTime,Depth_m,Division,GenusSpecies,Abundance,BioVolume_µm3_L,Flag,Notes
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Achnanthidium minutissimum,1711.17,96764.07,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Aphanizomenon sp.,30800.99,4838203.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Aphanocapsa sp.,408968.66,1713082.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Chlorophyta,Chlorella sp.,2566.75,167993.19,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Chroococcus dispersus,960.01,32170.2,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Cocconeis placentula,44490.32,54510428,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Chlorophyta,Crucigenia crucifera,11622.08,1568980.88,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cryptophyta,Cryptomonas erosa,1711.17,4838203.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Cyclotella bodanica,2905.52,26836182,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Cyclotella ocellata,45345.9,11396658,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Diatoma vulgaris,855.58,4515657,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Chlorophyta,Dictyosphaerium pulchellum,13689.33,258037.53,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Dolichospermum sp.,47941.08,18299264,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Encyonema minutum,855.58,463186.31,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Fragilaria capucina,12833.75,5926799.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Gomphosphaeria sp.,468859.47,36087624,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Mastogloia smithii,1452.76,6594946.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cyanobacteria,Phormidium sp.,5120.05,502659.41,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Cryptophyta,Plagioselmis nannoplanctica,38501.23,5432899.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Rhoicosphenia abbreviata,855.58,587898.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Chlorophyta,Spirogyra sp.,720.01,5883377,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Staurosirella pinnata,13689.33,1935281.5,,Cannot meet tally in 100 fields.
46435,LP221018,LPCR-249,10/18/2022 19:00,0.1,Bacillariophyta,Synedra ulna,855.58,201591.81,,Cannot meet tally in 100 fields.
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Achnanthidium minutissimum,160,9047.87,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Aphanizomenon sp.,3440.03,607903.69,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Aphanocapsa sp.,786584.38,3294834,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Chlorophyta,Chlorella sp.,3679.93,240850.44,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Chroococcus lacustris,7359.85,3853607,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Chlorophyta,Crucigenia crucifera,11039.78,927341.56,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cryptophyta,Cryptomonas erosa,15639.69,40125684,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Cyclotella bodanica,80,792631.06,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Cyclotella ocellata,13799.73,2774597,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Encyonema minutum,80,43309.97,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Fragilaria capucina,2905.52,1725183.12,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Fragilaria crotonensis,6439.87,5098322,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Gomphosphaeria sp.,688146.31,40354972,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Bacillariophyta,Mastogloia smithii,80,487076.97,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Microcystis aeruginosa,33200.33,5962587.5,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Chlorophyta,Oocystis sp.,3679.93,763014.19,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cryptophyta,Plagioselmis nannoplanctica,248395.06,21069596,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cryptophyta,Rhodomonas lacustris,36799.27,43430152,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Cyanobacteria,Snowella lacustris,29439.41,15414.43,,
46453,LP221018,LPCR0024,10/18/2022 10:45,1,Chlorophyta,Sphaerocystis schroeteri,8716.56,1565444,,
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Achnanthidium minutissimum,855.58,44350.2,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cyanobacteria,Aphanocapsa sp.,309721.03,1297355.38,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Chlorophyta,Chlorella sp.,2905.52,190165.69,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cyanobacteria,Chroococcus dispersus,640.01,21446.8,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Chlorophyta,Crucigenia crucifera,11622.08,976254.81,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cryptophyta,Cryptomonas erosa,5989.08,15365776,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Cyclotella ocellata,87269.46,17546552,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Encyonema minutum,80,43309.97,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Fragilaria crotonensis,2566.75,1983663.5,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cyanobacteria,Gomphosphaeria sp.,39680.39,4072211.25,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Melosira varians,2905.52,19771146,,Cannot meet tally in 100 fields. 
