"SurfaceFk","TripID","TripType","StationID","CollectionDateTime","LakeElevation_m","BottomSounding_m","IntakeDepth_m","CloudCover_pct","Inlet"
144,"LP640425","Forebay ","LPCR0905",1964-04-25 11:00:00,1036.4724,,-21.18,"",FALSE
145,"LP640425","Forebay ","LPCR0453",1964-04-25 12:30:00,1036.4724,,-21.18,"",FALSE
146,"LP640425","Forebay ","LPCR0024",1964-04-25 16:30:00,1036.4724,,-21.18,"",FALSE
147,"LP641216","Forebay ","LPCR0024",1964-12-16 12:00:00,1064.215296,,6.56,"",FALSE
148,"LP650119","Reservoir Wide","LPCR1692",1965-01-19 14:30:00,1064.273208,,6.62,"",FALSE
149,"LP650119","Reservoir Wide","LPCR2387",1965-01-20 11:30:00,1064.257968,,6.6,"",FALSE
150,"LP650119","Reservoir Wide","LPCR1169",1965-01-21 10:30:00,1064.2854,,6.63,"",FALSE
151,"LP650119","Reservoir Wide","LPSJR193",1965-01-21 14:30:00,1064.2854,,6.63,"",FALSE
152,"LP650119","Reservoir Wide","LPCR0905",1965-01-21 15:50:00,1064.2854,,6.63,"",FALSE
153,"LP650119","Reservoir Wide","LPCR0453",1965-01-22 10:30:00,1064.2854,,6.63,"",FALSE
154,"LP650119","Reservoir Wide","LPCR0024",1965-01-22 12:40:00,1064.2854,,6.63,"",FALSE
155,"LP650203","Forebay ","LPCR0024",1965-02-03 14:30:00,1064.22444,,6.57,"",FALSE
156,"LP650303","Forebay ","LPCR0024",1965-03-03 13:00:00,1064.230536,,6.57,"",FALSE
157,"LP650331","Forebay ","LPCR0024",1965-03-31 10:00:00,1064.325024,,6.67,"",FALSE
158,"LP650519","Reservoir Wide","LPSJR193",1965-05-19 13:45:00,1064.358552,,6.7,"",FALSE
159,"LP650519","Reservoir Wide","LPCR0905",1965-05-19 15:00:00,1064.358552,,6.7,"",FALSE
160,"LP650519","Reservoir Wide","LPCR0024",1965-05-25 14:00:00,1064.733456,,7.08,"",FALSE
161,"LP650519","Reservoir Wide","LPCR0453",1965-05-25 16:30:00,1064.733456,,7.08,"",FALSE
162,"LP650519","Reservoir Wide","LPCR1169",1965-05-26 08:00:00,1064.751744,,7.1,"",FALSE
163,"LP650519","Reservoir Wide","LPCR1692",1965-05-26 09:00:00,1064.751744,,7.1,"",FALSE
164,"LP650519","Reservoir Wide","LPCR2387",1965-05-26 13:30:00,1064.751744,,7.1,"",FALSE
165,"LP650714","Reservoir Wide","LPCR2387",1965-07-14 15:20:00,1073.82564,,16.17,"",FALSE
166,"LP650714","Reservoir Wide","LPCR1692",1965-07-15 07:30:00,1074.060336,,16.4,"",FALSE
167,"LP650714","Reservoir Wide","LPCR1169",1965-07-15 09:30:00,1074.060336,,16.4,"",FALSE
168,"LP650714","Reservoir Wide","LPSJR193",1965-07-15 13:15:00,1074.060336,,16.4,"",FALSE
