"StationID","Latitude","Longitude","Description","RiverArm"
"LPCLE024",37.288163,-110.914385,"Clear Creek at Cathedral in Desert 2.4 km from mouth","Clear Creek"
"LPCR0004",36.94127,-111.48565,"Chain line 0.4km upstream from Glen Canyon Dam","Colorado River"
"LPCR0006",36.94302,-111.48622,"near 5th big sign off right wall by buoy line","Colorado River"
"LPCR0024",36.955278,-111.482778,"West- Southwest tip of Antelope Island River km 2.4","Colorado River"
"LPCR0050",36.944785,-111.457785,"Colorado River at rkm 5.0 downstream from Antelope","Colorado River"
"LPCR0075",36.95701,-111.4447,"located in deep spot upstream of Antelope Canyon sediment pile","Colorado River"
"LPCR0105",36.965540793,-111.428404125,"Antelope Point Marina Fuel Dock","Colorado River"
"LPCR0155",36.968783813,-111.387759874,"Colorado River at NPPI Intake","Colorado River"
"LPCR0205",37.00459,-111.40787,,"Colorado River"
"LPCR0237",37.00157668,-111.372450455,,"Colorado River"
"LPCR0245",37.00356399,-111.364093396,"Romano Narrows at Buoy 15 (see notes of 3/27/96)","Colorado River"
"LPCR0250",37.005474,-111.3606156,"Romano Narrows at land based beacon","Colorado River"
"LPCR0453",37.039333,-111.256944,"West end of Padre Bay near Gooseneck point 45.3 km from dam","Colorado River"
"LPCR0697",37.09855,-111.13004,,"Colorado River"
"LPCR0905",37.134444,-110.952222,"~ 0.5 km upstream from mouth Oak Canyon approx km 90.5","Colorado River"
"LPCR1001",37.172744,-110.904269,"Just downstream from confluence of San Juan and Colorado","Colorado River"
"LPCR1080",37.216195,-110.897293,"in line from high alcove on left wall to high bluff on right wall","Colorado River"
"LPCR1169",37.283056,-110.874444,"Directly in from of old spall near mouth 116.9km from dam","Colorado River"
"LPCR1395",37.332731,-110.762581,"Near mouth of Iceberg Canyon appros. 140 km from GC dam","Colorado River"
"LPCR1465",37.361944,-110.729444,,"Colorado River"
"LPCR1587",37.4225,-110.703056,"near mouth of Lake Canyon approx. 158.9 km upstream from GC dam","Colorado River"
"LPCR1679",37.458643,-110.727647,"To minimize pinched traffic interference at lower lake elevations","Colorado River"
"LPCR1692",37.470556,-110.725,"Downstream end of Bullfrog Bay near Buoy # 93 169.2 km from dam","Colorado River"
"LPCR1724",37.481320941,-110.698562347,,"Colorado River"
"LPCR1772",37.484492,-110.645733,"Near mouth of Moki Canyon approx. 177.5 km from GC dam","Colorado River"
"LPCR1780",37.487155227,-110.639121142,,"Colorado River"
"LPCR1799",37.49363,-110.65422,"Colorado channel above Moki mouth ~2.4km- to minimize traffic interference from mouth of Moki cyn","Colorado River"
"LPCR1933",37.579247,-110.598806,"Near mouth of Knowles Canyon approx. 193.2km from GC dam","Colorado River"
"LPCR2085",37.657222,-110.514167,"At lower end of Good Hope Bay 208.5 km from dam","Colorado River"
"LPCR2099",37.650378,-110.50061,"Good Hope Bay at RKM 209.9","Colorado River"
"LPCR2160",37.663842,-110.494766,"Good Hope Bay at RKM 216.0","Colorado River"
"LPCR2209",37.730045,-110.457413,"Castle Butte at RKM 220.9","Colorado River"
"LPCR2255",37.767222,-110.436389,"Near mouth of Scorup Canyon Downstream from tip of ""Horn""","Colorado River"
"LPCR2341",37.79679,-110.47736,"Upstrteam of mounth of Two Mile Canyon","Colorado River"
"LPCR2361",37.80899,-110.45068,"Coordinates in NAD 83","Colorado River"
"LPCR2380",37.80753,-110.47736,,"Colorado River"
"LPCR2387",37.805278,-110.436944,"Near mouth of White Canyon across from Trachyte Canyon","Colorado River"
"LPCR2391",37.808664863,-110.4346865,"Colorado River Inflow at RKM 239.1","Colorado River"
"LPCR2398",37.81436,-110.4362,"Colorado River Inflow at RKM 240.2","Colorado River"
"LPCR2400",37.816679338,-110.43493583,"Colorado River Inflow at RKM 240.0","Colorado River"
"LPCR2402",37.81854,-110.43627,"Colorado River Inflow at RKM 240.2","Colorado River"
"LPCR2406",37.82259,-110.43512,"Colorado River Inflow at RKM 240.6","Colorado River"
"LPCR2411",37.82949,-110.43134,,"Colorado River"
"LPCR2412",37.82682,-110.435,,"Colorado River"
"LPCR2417",37.83190518,-110.433951156,"CR Inflow 12/7/04 RKM 241.7","Colorado River"
"LPCR2420",37.83,-110.43,,"Colorado River"
"LPCR2422",37.83694,-110.43355,,"Colorado River"
"LPCR2426",37.84015,-110.43123,,"Colorado River"
"LPCR2429",37.84266,-110.42831,"Colorado River below Palisades","Colorado River"
"LPCR2433",37.84627,-110.42092,"mid-channel- about 1km below island","Colorado River"
"LPCR2435",37.84171,-110.42112,"Below Palisades wall on left bank- gps taken ""~100 yards"" downstream","Colorado River"
"LPCR2440",37.845485871,-110.416193227,,"Colorado River"
"LPCR2442",37.845879,-110.413186,"Colorado River at RKM 244.2","Colorado River"
"LPCR2444",37.846925,-110.412496,"Colorado River at RKM 244.4","Colorado River"
"LPCR2445",37.8463,-110.41013,"Colorado River at RKM 244.5","Colorado River"
"LPCR2450",37.84544,-110.41613,,"Colorado River"
"LPCR2453",37.86,-110.4,,"Colorado River"
"LPCR2455",37.85205,-110.40143,"base of cliff on river left at RKM 245.5","Colorado River"
"LPCR2460",37.85569,-110.40573,,"Colorado River"
"LPCR2463",37.86,-110.4,,"Colorado River"
"LPCR2465",37.862011,-110.401761,,"Colorado River"
"LPCR2468",37.86443,-110.401558,,"Colorado River"
"LPCR2477",37.871746412,-110.404946007,"North Wash downstream of tip of fin","Colorado River"
"LPCR2480",37.87443723,-110.405190437,,"Colorado River"
"LPCR2483",37.871466,-110.405456,"Across from Hite Marina ~ 100m upstream from mouth North Wash","Colorado River"
"LPCR2487",37.881205,-110.405033,,"Colorado River"
"LPCR-249",36.865241,-111.584485,,"Colorado River"
"LPCR2490",37.884005,-110.402523,,"Colorado River"
"LPCR2493",37.88543,-110.401408,,"Colorado River"
"LPCR2498",37.88819,-110.397169,,"Colorado River"
"LPCR2520",37.89128,-110.370337,,"Colorado River"
"LPCR2521",37.891348099,-110.369129946,,"Colorado River"
"LPCR2540",37.891379027,-110.347861381,,"Colorado River"
"LPCR2550",37.891886,-110.338007,,"Colorado River"
"LPCR2555",37.890601072,-110.330905414,"Colorado River under Hite bridge","Colorado River"
"LPCR2570",37.890119871,-110.314004864,,"Colorado River"
"LPCR2587",37.886873948,-110.296098692,"Cataract Canyon before Mille Crag Bend @ 2nd Canyon","Colorado River"
"LPCR2618",37.867143058,-110.281270892,,"Colorado River"
"LPCR2624",37.871281717,-110.27737942,,"Colorado River"
"LPCR2626",37.872913,-110.276729,,"Colorado River"
"LPCR2716",37.897792176,-110.205440158,,"Colorado River"
"LPCR2823",37.959218667,-110.177675467,,"Colorado River"
"LPCR2880",37.959218667,-110.177675467,,"Colorado River"
"LPCR2897",37.959218667,-110.177675467,,"Colorado River"
"LPCR2985",37.959218667,-110.177675467,,"Colorado River"
"LPCR2990",38.048466,-110.052732,,"Colorado River"
"LPCRDT01",36.936623,-111.482817,,"Colorado River"
"LPCRDT02",36.936623,-111.482817,,"Colorado River"
"LPCRDT03",36.936623,-111.482817,,"Colorado River"
"LPCRDT04",36.936623,-111.482817,,"Colorado River"
"LPCRDT05",36.936623,-111.482817,,"Colorado River"
"LPCRDT06",36.936623,-111.482817,,"Colorado River"
"LPCRDT07",36.936623,-111.482817,,"Colorado River"
"LPCRDT08",36.936623,-111.482817,,"Colorado River"
"LPCRRFG2",36.937936,-111.482908,"Glen Canyon Dam Ring Follower Gate #2","Colorado River"
"LPCR2514",37.890477289,-110.376966537,"COLO. R. RM 141.5","Colorado River"
"LPCR2660",37.898548422,-110.265027015,"COLO. R. RM 150.0","Colorado River"
"LPCR2769",37.942822704,-110.204914138,"COLO. R. RM 157.0","Colorado River"
"LPCR2859",37.959218667,-110.177675467,"Colo. R. at Clearwater Canyon","Colorado River"
"LPCR2365",37.8077,-110.4608,"inflow station on 3/21/19","Colorado River"
