SampleFk,TripID,StationID,CollectionDateTime,MinDepth_m,MaxDepth_m,Division,GenusSpecies,Abundance,BioMass,Notes,Flag
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Aglaodiaptomus clavipes,0.08,1.97,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Bosmina longirostris,0.04,0.03,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Calanoid copepodid,0.27,0.67,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Cyclopoid copepodid,0.28,0.13,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Daphnia galeata,0.05,0.2,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Daphnia pulex,0.52,14.6,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Daphnia spp.,0.01,0.11,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Diaphanosoma brachyurum,0.09,0.63,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Cladocera,Eubosmina coregoni,0.05,0.05,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Eucyclops pectinifer,0.01,0.12,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Harpacticoida sp.,0.03,0.01,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Rotifera,Keratella hiemalis,0.01,0,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Leptodiaptomus siciloides,0.07,0.19,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Mesocyclops edax,0.01,0.13,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,nauplii larvae,0.6,0.02,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Rotifera,Polyarthra vulgaris,0.12,0,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Rotifera,Pompholyx sulcata,0.01,0,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Bivalvia,Quagga veliger,0.43,0.03,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Skistodiaptomus pallidus,0.01,0.08,High algae and detritus.,
46976,LP221205,LPCR-249,12/9/2022 12:15,0,0,Copepoda,Tropocyclops prasinus,0.01,0.01,High algae and detritus.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Aglaodiaptomus clavipes,0.08,1.89,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Rotifera,Ascomorpha ovalis,0.02,0,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Cladocera,Bosmina longirostris,0.02,0.02,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Calanoid copepodid,0.52,0.9,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Cyclopoid copepodid,0.26,0.58,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Cladocera,Daphnia galeata,0.1,0.23,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Cladocera,Daphnia pulex,0.68,18.81,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Cladocera,Daphnia spp.,0.14,0.07,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Cladocera,Diaphanosoma brachyurum,0.08,0.2,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Rotifera,Keratella cochlearis,0.02,0,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Leptodiaptomus siciloides,0.02,0.06,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Mesocyclops edax,0.08,0.18,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,nauplii larvae,1.34,0.24,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Rotifera,Polyarthra vulgaris,0.32,0.01,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Bivalvia,Quagga veliger,0.48,0.06,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Skistodiaptomus pallidus,0.12,0.57,Microcystis present.,
46975,LP221205,LPCR1169,12/6/2022 14:45,0,30,Copepoda,Tropocyclops prasinus,0.02,0.02,Microcystis present.,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Aglaodiaptomus clavipes,0.02,0.49,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Cladocera,Bosmina longirostris,0.02,0.04,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Calanoid copepodid,0.25,0.32,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Rotifera,Conochiloides spp.,0.02,0,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Cyclopoid copepodid,0.43,0.5,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Cladocera,Daphnia galeata,0.09,0.79,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Cladocera,Daphnia pulex,1.14,50.51,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Cladocera,Daphnia spp.,0.09,0.08,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Leptodiaptomus ashlandi,0.02,0.05,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Leptodiaptomus siciloides,0.07,0.21,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,nauplii larvae,0.69,0.14,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Rotifera,Polyarthra vulgaris,0.07,0,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Bivalvia,Quagga veliger,1.85,0.27,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Skistodiaptomus pallidus,0.05,0.25,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Rotifera,Synchaeta spp.,0.07,0,,
46974,LP221205,LPCR0453,12/5/2022 16:00,0,30,Copepoda,Tropocyclops prasinus,0.02,0.02,,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Cladocera,Bosmina longirostris,0,0,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Copepoda,Calanoid copepodid,0.01,0.03,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Copepoda,Cyclopoid copepodid,0.03,0.05,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Cladocera,Daphnia galeata,0,0.01,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Cladocera,Daphnia pulex,0.01,0.15,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Cladocera,Daphnia spp.,0,0.01,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Copepoda,Diacyclops thomasi,0.01,0.01,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Cladocera,Diaphanosoma brachyurum,0,0,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Rotifera,Keratella hiemalis,0.01,0,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Copepoda,nauplii larvae,0.04,0,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Rotifera,Polyarthra vulgaris,0,0,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Bivalvia,Quagga veliger,0.35,0.02,Low abundance. Unable to meet tally.,
46973,LP221205,LPCR0024,12/5/2022 11:30,30,60,Rotifera,Synchaeta spp.,0.01,0,Low abundance. Unable to meet tally.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Aglaodiaptomus clavipes,0.32,7.01,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Cladocera,Bosmina longirostris,0.3,0.34,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Calanoid copepodid,0.28,0.46,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Cyclopoid copepodid,0.28,0.08,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Cladocera,Daphnia galeata,0.32,4.24,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Cladocera,Daphnia pulex,0.47,19.72,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Cladocera,Diaphanosoma brachyurum,0.04,0.08,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Cladocera,Eubosmina coregoni,0.34,0.91,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Leptodiaptomus siciloides,0.02,0.06,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Mesocyclops edax,0.04,0.14,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,nauplii larvae,0.71,0.03,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Rotifera,Polyarthra vulgaris,0.06,0,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Bivalvia,Quagga veliger,1.19,0.03,High algae and detritus.,
46972,LP221114,LPCR-249,11/15/2022 16:00,0,0,Copepoda,Skistodiaptomus pallidus,0.02,0.11,High algae and detritus.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Aglaodiaptomus clavipes,0.08,1.68,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Rotifera,Bdelloidea sp.,0.08,0,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Calanoid copepodid,0.71,1.91,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Cyclopoid copepodid,1.27,0.61,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Cladocera,Daphnia pulex,0.48,41.44,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Cladocera,Diaphanosoma brachyurum,0.08,0.07,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Mesocyclops edax,0.87,4.32,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,nauplii larvae,5.63,0.41,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Rotifera,Polyarthra vulgaris,0.16,0,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Bivalvia,Quagga veliger,7.14,0.3,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Skistodiaptomus pallidus,0.24,1.32,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Rotifera,Synchaeta spp.,0.08,0,Microcystis present.,
46971,LP221114,LPCRDT03,11/15/2022 10:00,18.062,18.062,Copepoda,Tropocyclops prasinus,0.16,0.15,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Cladocera,Bosmina longirostris,0.03,0.03,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Copepoda,Calanoid copepodid,0.3,0.34,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Rotifera,Collotheca spp.,0.03,0,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Copepoda,Cyclopoid copepodid,0.4,0.09,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Cladocera,Daphnia pulex,0.3,2.48,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Cladocera,Diaphanosoma brachyurum,0.1,0.37,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Cladocera,Eubosmina coregoni,0.2,0.53,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Rotifera,Keratella hiemalis,0.03,0,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Copepoda,Mesocyclops edax,0.03,0.07,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Copepoda,nauplii larvae,1.73,0.15,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Rotifera,Polyarthra vulgaris,0.07,0,Microcystis present.,
46969,LP221114,LPCR0024,11/14/2022 12:30,0,30,Bivalvia,Quagga veliger,3.85,0.21,Microcystis present.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Copepoda,Aglaodiaptomus clavipes,0,0.06,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Cladocera,Bosmina longirostris,0.01,0.01,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Copepoda,Cyclopoid copepodid,0.02,0.04,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Cladocera,Daphnia galeata,0,0.03,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Cladocera,Daphnia pulex,0.01,0.31,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Copepoda,Diacyclops thomasi,0,0.01,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Cladocera,Diaphanosoma brachyurum,0.01,0.02,Low abundance. Tally not met.,
