TripID,StationID,CollectionDateTime,Depth_m,FieldCondition,Scope,ObserverInitials,SurfaceFk,SecchiFk
LP841126,LPCR0024,11/26/1984 23:00,3.7,Unknown,FALSE,AA`,1701,206
LP841126,LPCR0453,11/27/1984 10:00,6.9,Unknown,FALSE,AA`,1702,207
LP841126,LPCR0905,11/27/1984 11:51,4.6,Unknown,FALSE,AA`,1703,208
LP841126,LPCR1169,11/27/1984 13:30,3,Unknown,FALSE,AA`,1704,209
LP841126,LPCR2387,11/28/1984 9:00,1.4,Unknown,FALSE,AA`,1705,210
LP841126,LPCR1692,11/29/1984 7:40,1.8,Unknown,FALSE,AA`,1707,211
LP841126,LPSJR193,11/29/1984 11:00,4.3,Unknown,FALSE,AA`,1708,212
LP850611,LPCR0024,6/11/1985 8:15,7,Unknown,FALSE,AA`,1723,227
LP850611,LPCR0453,6/11/1985 11:00,5.2,Unknown,FALSE,AA`,1724,228
LP850611,LPCR0905,6/11/1985 12:30,3,Unknown,FALSE,AA`,1725,229
LP850611,LPCR1169,6/11/1985 14:00,3,Unknown,FALSE,AA`,1726,230
LP850611,LPCR2387,6/12/1985 9:00,0.3,Unknown,FALSE,AA`,1727,231
LP850611,LPSJR193,6/12/1985 10:30,4,Unknown,FALSE,AA`,1728,232
LP850611,LPCR2600,6/12/1985 11:00,0.2,Unknown,FALSE,AA`,1729,233
LP850611,LPCR1692,6/13/1985 7:30,1.8,Unknown,FALSE,AA`,1730,234
LP850917,LPCR0453,9/17/1985 11:15,9.1,Unknown,FALSE,AA`,1756,254
LP850917,LPCR2387,9/18/1985 10:00,2.3,Unknown,FALSE,AA`,1757,255
LP850917,LPCR2600,9/18/1985 12:05,1.5,Unknown,FALSE,AA`,1758,256
LP850917,LPCR1692,9/18/1985 15:15,4,Unknown,FALSE,AA`,1759,257
LP850917,LPCR1169,9/19/1985 9:15,6.6,Unknown,FALSE,AA`,1760,258
LP850917,LPESC347,9/19/1985 12:10,0.9,Unknown,FALSE,AA`,1761,259
