"cov_num","study_id","aim","num_waterbodies","biotic_vars","mgmt_concerns","mgmt_strat"
573,"Dzhaiani 2020","Examine interannual changes in phytoplankton as they relate to hydrodynamics.",1,"phytoplankton microscopy","water level fluctuation",NA
542,"An 2003","analyzed how hydrological fluctuations (monsoons) influence water quality of a reservoir over a two-year period",1,"filtered chlorophyll (ug/L)","flooding",NA
514,"Yan 2023","explore the interactive effects of hydrological characteristics and in-lake physicochemical parameters on phytoplankton community structure",1,"phytoplankton microscopy","water level fluctuation",NA
499,"Khaliullina 2022","To study the influence of abiotic factors on seasonal phytoplankton dynamics",1,"phytoplankton microscopy",NA,"drawdown"
496,"Camara 2015","""The present study focuses on the structure and function 
of phytoplankton community during periods of marked 
changes in hydrological traits, influenced by an atypical 
climatic event (La Niña) and its impact on Armando 
Ribeiro Gonçalves Reservoir of Rio Grande do Norte, 
situated in the Caatinga biome of northeastern Brazil.""",1,"filtered chlorophyll (ug/L); phytoplankton microscopy","flooding",NA
452,"Zhao 2016","evaluate water quality of Three Gorges Reservoir from 2010-2013",1,"Other: E. coli","water level fluctuation",NA
395,"Khaliullina 2009","a long-term dataset is used to analyze seasonal and interannual variation in the phytoplankton community in connection with seasonal water level changes",1,"phytoplankton microscopy","water level fluctuation",NA
339,"Hoyer 2009","characterize how changes in outflow influence phytoplankton community composition in a reservoir",1,"phytoplankton microscopy","drought","hypolimnion selective withdrawal; metalimnion selective withdrawal; epilimnion selective withdrawal"
318,"Mineeva 2021","examine long term trends in phytoplankton and describe seasonal dynamics",1,"Fluoroprobe (phytoplankton groups)","water level fluctuation",NA
307,"Xiao 2016","""a 2-year investigation of the
succession of phytoplankton assemblages was conduct-
ed from May 2007 to April 2009 in the backwater area
of the Pengxi River (PBA), a typical tributary of the
Yangtze River in the TGR.""",1,"filtered chlorophyll (ug/L); phytoplankton microscopy","water level fluctuation","refill; drawdown"
286,"Beaver 2018","Aimed to characterize the response of phytoplankton and zooplankton communities to both linear and dynamic environmental changes across a 9 year time frame.",1,"phytoplankton microscopy; cyanobacterial toxins","drought","drawdown"
284,"Beaver 2013","assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River",6,NA,"drought; flooding",NA
245,"Zhou 2022","""we attempt to (1) characterize the long-term trends in the phytoplankton phenology using several metrics, including the initiation, succession, and termination dates, in the TGR backwaters based on the Chla and Cyano-Chlorophyta index (CCI) time series derived from satellite imagery and (2) elucidate the environmental factors that drive the identified long-term trends in phytoplankton phenology, particularly focusing on the seasonal suc­cession phenology, in order to confirm whether the hypothetical reser­voir ecological regulation can be realized by adjusting the water level to 
guide the dynamics of phytoplankton habitat in the TGR backwaters, 
thereby alleviating the harmful phytoplankton blooms""",1,"sensor chlorophyll (ug/L); Other: satellite chla","drawdown; water level fluctuation","drawdown"
228,"Sakharova 2018","""characterize features ofthe phytoplankton formation in different littoral shallow water areas and in the deepwater part of the Rybinsk Reservoir in years with different temperature and level regimes""",1,"phytoplankton microscopy","drawdown",NA
215,"Robert 2021","combining microbiological monitoring, hydrometeorological parameters and epidemiological analysis.",1,"pathogens","drought",NA
214,"Carvalho 2022","explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region",3,NA,"drought; water level fluctuation",NA
206,"MacDonagh 2009","Examine how hydrology (rainy years with a lot of surface spill and higher renewal rates) affect phytoplankton and zooplankton.",1,"filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton","water level fluctuation","epilimnion selective withdrawal"
178,"Su 2017","""This study explores a possible novel strategy based on water level regulation to reduce the underwater light availability, thereby to prevent the blooming of MIB-producing cyanobacteria.""",1,"single cyanobacterial taxon","drawdown",NA
165,"Fadel 2015","""In this study, we try to (1) present the temporal variation of
physico-chemical parameters in Karaoun Reservoir, (2) identify its phytoplankton composition and (3) understand the processes controlling phytoplankton succession in this reservoir with a high water level fluctuation""",1,"filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton microscopy","water level fluctuation",NA
143,"Olds 2011","Compare water quality between a 4 year drought and 3 years of normal conditions",1,"sensor chlorophyll (ug/L)","drought",NA
141,"Huang 2023","assess the effect of flushing (reducing water residence time to 3 days) on the growth of cyanobacteria and occurrence of blooms",1,"filtered chlorophyll (ug/L); phytoplankton microscopy",NA,"hydraulic flushing"
140,"Pan 2018","Examine how a managed filling of the reservoir affected phytoplankton assemblage (sampling before, during and after).",1,"phytoplankton microscopy",NA,"refill"
