"Lake or Reservoir Name","Country","Latitude (decimal degrees)","Longitude (decimal degrees)","Trophic Status","Did water level increase or decrease?","Did phytoplankton increase?","Did cyanobacteria increase?","Study ID"
"Acauã","Brazil","-7.44","-35.56","eu-hypereutrophic","decrease","not reported","no","Mendes 2022"
"Armando Ribeiro Gonçalves Reservoir","Brazil","-5.67","-36.9","not reported","increase","no","no","Camara 2015"
"Armando Ribeiro Gonçalves Reservoir","Brazil","-5.67","-36.9","not reported","decrease","yes","yes","Camara 2015"
"Banabuiù","Brazil","not reported","not reported","not reported","increase","yes","not reported","Carvalho 2022"
"Banabuiù","Brazil","not reported","not reported","not reported","decrease","no","not reported","Carvalho 2022"
"Boqueirão","Brazil","-7.5","-36.14","eu-hypereutrophic","decrease","not reported","yes","Mendes 2022"
"Camalaú","Brazil","-7.88","-36.84","eu-hypereutrophic","decrease","not reported","yes","Mendes 2022"
"Castanhão","Brazil","not reported","not reported","not reported","increase","yes","not reported","Carvalho 2022"
"Castanhão","Brazil","not reported","not reported","not reported","decrease","no","not reported","Carvalho 2022"
"Danjiangkou Reservoir","China","32.73","111.56","eu-hypereutrophic","increase","no","yes","Pan 2018"
"Dongting Lake","China","28.86","112.69","not reported","increase","yes","yes","Yan 2023"
"Dongting Lake","China","28.86","112.69","not reported","decrease","no","not reported","Yan 2023"
"El Gergal","Spain","37.57","-6.05","not reported","decrease","no","not reported","Hoyer 2009"
"Eustis","USA","28.85","-81.72","eu-hypereutrophic","decrease","not reported","yes","Havens 2019"
"Fort Peck Lake","USA","48","not reported","oligo-mesotrophic","increase","no","not reported","Beaver 2013"
"Harlan County Reservoir","United States","40.06","-99.29","not reported","increase","no","not reported","Olds 2011"
"Harlan County Reservoir","United States","40.06","-99.29","not reported","decrease","yes","not reported","Olds 2011"
"Harris","USA","28.78","-81.81","eu-hypereutrophic","decrease","not reported","yes","Havens 2019"
"Hongfeng","China","26.48","106.41","not reported","increase","no","no","Li 2018"
"Iriklinsky","Russia","51.68","58.62","oligo-mesotrophic","increase","no","yes","Dzhaiani 2020"
"Iriklinsky","Russia","51.68","58.62","oligo-mesotrophic","decrease","no","no","Dzhaiani 2020"
"Joanes Reservoir I","Brazil","-12.57","-38.2","not reported","increase","not reported","no","Magalhaes 2019"
"Joanes Reservoir I","Brazil","-12.57","-38.2","not reported","decrease","not reported","yes","Magalhaes 2019"
"Karaoun Reservoir","Lebanon","33.57","35.7","not reported","increase","no","no","Fadel 2015"
"Karaoun Reservoir","Lebanon","33.57","35.7","not reported","decrease","yes","yes","Fadel 2015"
"Kuibyshev","Russia","53.65","48.93","oligo-mesotrophic","increase","no","no","Khaliullina 2022"
