"cov_num","res_name","increase_decrease_mosaic","trophic_status_mosaic","increase_phyto","increase_cyano"
64,"Lake Diefenbaker","decrease","oligo/mesotrophic","yes","yes"
63,"Lake Diefenbaker","decrease","oligo/mesotrophic","no","yes"
542,"Taechung Reservoir","increase","not reported","no","not reported"
284,"Fort Peck Lake","increase","oligo/mesotrophic","no","not reported"
284,"Lake Oahe","increase","oligo/mesotrophic","no","not reported"
284,"Lake Sharpe","increase","oligo/mesotrophic","no","not reported"
284,"Lake Francis Case","increase","oligo/mesotrophic","no","not reported"
286,"Lake Mead","decrease","oligo/mesotrophic","not reported","yes"
284,"Lewis and Clark Lake","increase","eu/hypereutrophic","no","not reported"
55,"Lake Austin","decrease","oligo/mesotrophic","yes","yes"
53,"Lake Buchanan","decrease","eu/hypereutrophic","yes","yes"
50,"Yale","decrease","eu/hypereutrophic","not reported","yes"
50,"Eustis","decrease","eu/hypereutrophic","not reported","yes"
50,"Harris","decrease","eu/hypereutrophic","not reported","yes"
339,"El Gergal","decrease","not reported","no","not reported"
395,"Kuibyshev Reservoir","decrease","not reported","yes","not reported"
71,"Hongfeng","increase","not reported","no","no"
21,"Zipingpu Reservoir","increase","not reported","yes","not reported"
72,"Camalaú","decrease","eu/hypereutrophic","not reported","yes"
72,"Acauã","decrease","eu/hypereutrophic","not reported","no"
72,"Boqueirão","decrease","eu/hypereutrophic","not reported","yes"
140,"Danjiangkou Reservoir","increase","eu/hypereutrophic","no","yes"
128,"Tri An","decrease","eu/hypereutrophic","yes","yes"
228,"Rybinsk Reservoir","decrease","not reported","no","not reported"
178,"Miyun","decrease","not reported","not reported","yes"
307,"Pengxi River","increase","eu/hypereutrophic","no","no"
20,"Lake Kinneret","increase","oligo/mesotrophic","not reported","yes"
20,"Lake Peipsi","increase","eu/hypereutrophic","not reported","yes"
20,"Maggiore","increase","oligo/mesotrophic","not reported","yes"
284,"Lake Sakakawea","increase","oligo/mesotrophic","no","not reported"
496,"Armando Ribeiro Gonçalves Reservoir","increase","not reported","no","no"
214,"Banabuiù","increase","not reported","yes","not reported"
214,"Castanhão","increase","not reported","yes","not reported"
214,"Orós","increase","not reported","yes","not reported"
573,"Iriklinsky","increase","oligo/mesotrophic","no","yes"
165,"Karaoun Reservoir","increase","not reported","no","no"
499,"Kuibyshev","increase","oligo/mesotrophic","no","no"
206,"Río Tercero Reservoir","increase","oligo/mesotrophic","no","not reported"
68,"Joanes Reservoir I","increase","not reported","not reported","no"
318,"Rybinsk Reservoir","increase","oligo/mesotrophic","no","no"
143,"Harlan County Reservoir","increase","not reported","no","not reported"
66,"Tri An","increase","eu/hypereutrophic","yes","yes"
514,"Dongting Lake","increase","not reported","yes","yes"
32,"Three Gorges Reservoir (specifically in Xiangxi Bay)","increase","eu/hypereutrophic","no","not reported"
245,"Three Gorges Reservoir","increase","not reported","no","not reported"
20,"Lake Kinneret","decrease","oligo/mesotrophic","not reported","yes"
20,"Lake Peipsi","decrease","eu/hypereutrophic","not reported","yes"
20,"Maggiore","decrease","oligo/mesotrophic","not reported","yes"
284,"Lake Sakakawea","decrease","oligo/mesotrophic","not reported","yes"
496,"Armando Ribeiro Gonçalves Reservoir","decrease","not reported","yes","yes"
214,"Banabuiù","decrease","not reported","no","not reported"
214,"Castanhão","decrease","not reported","no","not reported"
214,"Orós","decrease","not reported","no","not reported"
573,"Iriklinsky","decrease","oligo/mesotrophic","no","no"
165,"Karaoun Reservoir","decrease","not reported","yes","yes"
499,"Kuibyshev","decrease","oligo/mesotrophic","yes","yes"
206,"Río Tercero Reservoir","decrease","oligo/mesotrophic","no","not reported"
68,"Joanes Reservoir I","decrease","not reported","not reported","yes"
318,"Rybinsk Reservoir","decrease","oligo/mesotrophic","yes","yes"
143,"Harlan County Reservoir","decrease","not reported","yes","not reported"
66,"Tri An","decrease","eu/hypereutrophic","no","no"
514,"Dongting Lake","decrease","not reported","no","not reported"
32,"Three Gorges Reservoir (specifically in Xiangxi Bay)","decrease","eu/hypereutrophic","no","not reported"
245,"Three Gorges Reservoir","decrease","not reported","yes","not reported"
